 C, MCS, D
  0.1000000     ,           1 ,  0.2271875    
  0.1000000     ,           2 ,  0.2279687    
  0.1000000     ,           3 ,  0.2195833    
  0.1000000     ,           4 ,  0.2264844    
  0.1000000     ,           5 ,  0.2283750    
  0.1000000     ,           6 ,  0.2180208    
  0.1000000     ,           7 ,  0.2167857    
  0.1000000     ,           8 ,  0.2184375    
  0.1000000     ,           9 ,  0.2119444    
  0.1000000     ,          10 ,  0.2146563    
  0.1000000     ,          11 ,  0.2255398    
  0.1000000     ,          12 ,  0.2098437    
  0.1000000     ,          13 ,  0.2235337    
  0.1000000     ,          14 ,  0.2177902    
  0.1000000     ,          15 ,  0.2268333    
  0.1000000     ,          16 ,  0.2374023    
  0.1000000     ,          17 ,  0.2279228    
  0.1000000     ,          18 ,  0.2308680    
  0.1000000     ,          19 ,  0.2118421    
  0.1000000     ,          20 ,  0.2169844    
  0.1000000     ,          21 ,  0.2160714    
  0.1000000     ,          22 ,  0.2245028    
  0.1000000     ,          23 ,  0.2097011    
  0.1000000     ,          24 ,  0.2098568    
  0.1000000     ,          25 ,  0.2126375    
  0.1000000     ,          26 ,  0.2183654    
  0.1000000     ,          27 ,  0.2242246    
  0.1000000     ,          28 ,  0.2142857    
  0.1000000     ,          29 ,  0.2235668    
  0.1000000     ,          30 ,  0.2277500    
  0.1000000     ,          31 ,  0.2185988    
  0.1000000     ,          32 ,  0.2161719    
  0.1000000     ,          33 ,  0.2351894    
  0.1000000     ,          34 ,  0.2270772    
  0.1000000     ,          35 ,  0.2204464    
  0.1000000     ,          36 ,  0.2184028    
  0.1000000     ,          37 ,  0.2225929    
  0.1000000     ,          38 ,  0.2094737    
  0.1000000     ,          39 ,  0.2020352    
  0.1000000     ,          40 ,  0.2168672    
  0.1000000     ,          41 ,  0.2190472    
  0.1000000     ,          42 ,  0.2153348    
  0.1000000     ,          43 ,  0.2181395    
  0.1000000     ,          44 ,  0.2133168    
  0.1000000     ,          45 ,  0.2125694    
  0.1000000     ,          46 ,  0.2225475    
  0.1000000     ,          47 ,  0.2291223    
  0.1000000     ,          48 ,  0.2116276    
  0.1000000     ,          49 ,  0.2244196    
  0.1000000     ,          50 ,  0.2197750    
  0.2000000     ,           1 ,  0.1967187    
  0.2000000     ,           2 ,  0.1975000    
  0.2000000     ,           3 ,  0.1974480    
  0.2000000     ,           4 ,  0.1928516    
  0.2000000     ,           5 ,  0.1921250    
  0.2000000     ,           6 ,  0.1927083    
  0.2000000     ,           7 ,  0.1900893    
  0.2000000     ,           8 ,  0.1932422    
  0.2000000     ,           9 ,  0.1913368    
  0.2000000     ,          10 ,  0.1902500    
  0.2000000     ,          11 ,  0.1981392    
  0.2000000     ,          12 ,  0.1911328    
  0.2000000     ,          13 ,  0.1900601    
  0.2000000     ,          14 ,  0.1876116    
  0.2000000     ,          15 ,  0.1927396    
  0.2000000     ,          16 ,  0.1906738    
  0.2000000     ,          17 ,  0.1874173    
  0.2000000     ,          18 ,  0.1907378    
  0.2000000     ,          19 ,  0.1899753    
  0.2000000     ,          20 ,  0.1955078    
  0.2000000     ,          21 ,  0.1884970    
  0.2000000     ,          22 ,  0.1970525    
  0.2000000     ,          23 ,  0.1848166    
  0.2000000     ,          24 ,  0.1818034    
  0.2000000     ,          25 ,  0.1871750    
  0.2000000     ,          26 ,  0.1843510    
  0.2000000     ,          27 ,  0.1949768    
  0.2000000     ,          28 ,  0.1879966    
  0.2000000     ,          29 ,  0.1828610    
  0.2000000     ,          30 ,  0.1813229    
  0.2000000     ,          31 ,  0.1811845    
  0.2000000     ,          32 ,  0.1801563    
  0.2000000     ,          33 ,  0.1882102    
  0.2000000     ,          34 ,  0.1948667    
  0.2000000     ,          35 ,  0.2013348    
  0.2000000     ,          36 ,  0.1861198    
  0.2000000     ,          37 ,  0.1854223    
  0.2000000     ,          38 ,  0.1884951    
  0.2000000     ,          39 ,  0.1861418    
  0.2000000     ,          40 ,  0.1841172    
  0.2000000     ,          41 ,  0.1820122    
  0.2000000     ,          42 ,  0.1926823    
  0.2000000     ,          43 ,  0.1797020    
  0.2000000     ,          44 ,  0.1839204    
  0.2000000     ,          45 ,  0.1906007    
  0.2000000     ,          46 ,  0.1934749    
  0.2000000     ,          47 ,  0.1871709    
  0.2000000     ,          48 ,  0.1840820    
  0.2000000     ,          49 ,  0.1889286    
  0.2000000     ,          50 ,  0.1948500    
  0.3000000     ,           1 ,  0.1793750    
  0.3000000     ,           2 ,  0.1702604    
  0.3000000     ,           3 ,  0.1610417    
  0.3000000     ,           4 ,  0.1638281    
  0.3000000     ,           5 ,  0.1667708    
  0.3000000     ,           6 ,  0.1669965    
  0.3000000     ,           7 ,  0.1680804    
  0.3000000     ,           8 ,  0.1619792    
  0.3000000     ,           9 ,  0.1633333    
  0.3000000     ,          10 ,  0.1623125    
  0.3000000     ,          11 ,  0.1654261    
  0.3000000     ,          12 ,  0.1656684    
  0.3000000     ,          13 ,  0.1568910    
  0.3000000     ,          14 ,  0.1599033    
  0.3000000     ,          15 ,  0.1610070    
  0.3000000     ,          16 ,  0.1570443    
  0.3000000     ,          17 ,  0.1566238    
  0.3000000     ,          18 ,  0.1532292    
  0.3000000     ,          19 ,  0.1614693    
  0.3000000     ,          20 ,  0.1521094    
  0.3000000     ,          21 ,  0.1591617    
  0.3000000     ,          22 ,  0.1595313    
  0.3000000     ,          23 ,  0.1530842    
  0.3000000     ,          24 ,  0.1638976    
  0.3000000     ,          25 ,  0.1607708    
  0.3000000     ,          26 ,  0.1581570    
  0.3000000     ,          27 ,  0.1613889    
  0.3000000     ,          28 ,  0.1545238    
  0.3000000     ,          29 ,  0.1589224    
  0.3000000     ,          30 ,  0.1587882    
  0.3000000     ,          31 ,  0.1555511    
  0.3000000     ,          32 ,  0.1619075    
  0.3000000     ,          33 ,  0.1559280    
  0.3000000     ,          34 ,  0.1555270    
  0.3000000     ,          35 ,  0.1647589    
  0.3000000     ,          36 ,  0.1592216    
  0.3000000     ,          37 ,  0.1596200    
  0.3000000     ,          38 ,  0.1547588    
  0.3000000     ,          39 ,  0.1590064    
  0.3000000     ,          40 ,  0.1575547    
  0.3000000     ,          41 ,  0.1602007    
  0.3000000     ,          42 ,  0.1563095    
  0.3000000     ,          43 ,  0.1644356    
  0.3000000     ,          44 ,  0.1552699    
  0.3000000     ,          45 ,  0.1586875    
  0.3000000     ,          46 ,  0.1633967    
  0.3000000     ,          47 ,  0.1602283    
