 MCS, m
       30100 ,   1.00000000    
       30200 ,  0.959999979    
       30300 ,  0.959999979    
       30400 ,  0.980000019    
       30500 ,  0.980000019    
       30600 ,   1.00000000    
       30700 ,  0.959999979    
       30800 ,  0.980000019    
       30900 ,  0.939999998    
       31000 ,  0.860000014    
       31100 ,   1.00000000    
       31200 ,  0.959999979    
       31300 ,  0.980000019    
       31400 ,  0.959999979    
       31500 ,   1.00000000    
       31600 ,   1.00000000    
       31700 ,  0.939999998    
       31800 ,  0.899999976    
       31900 ,   1.00000000    
       32000 ,  0.959999979    
       32100 ,  0.800000012    
       32200 ,   1.00000000    
       32300 ,  0.959999979    
       32400 ,   1.00000000    
       32500 ,   1.00000000    
       32600 ,   1.00000000    
       32700 ,   1.00000000    
       32800 ,  0.980000019    
       32900 ,   1.00000000    
       33000 ,  0.980000019    
       33100 ,  0.939999998    
       33200 ,  0.939999998    
       33300 ,  0.959999979    
       33400 ,   1.00000000    
       33500 ,  0.899999976    
       33600 ,   1.00000000    
       33700 ,  0.920000017    
       33800 ,  0.959999979    
       33900 ,  0.920000017    
       34000 ,  0.959999979    
       34100 ,  0.939999998    
       34200 ,  0.980000019    
       34300 ,  0.879999995    
       34400 ,  0.959999979    
       34500 ,  0.920000017    
       34600 ,  0.980000019    
       34700 ,  0.980000019    
       34800 ,  0.939999998    
       34900 ,   1.00000000    
       35000 ,   1.00000000    
       35100 ,  0.920000017    
       35200 ,  0.920000017    
       35300 ,   1.00000000    
       35400 ,  0.879999995    
       35500 ,  0.920000017    
       35600 ,  0.959999979    
       35700 ,  0.980000019    
       35800 ,  0.980000019    
       35900 ,  0.980000019    
       36000 ,   1.00000000    
       36100 ,   1.00000000    
       36200 ,  0.980000019    
       36300 ,   1.00000000    
       36400 ,   1.00000000    
       36500 ,  0.980000019    
       36600 ,  0.939999998    
       36700 ,  0.939999998    
       36800 ,  0.959999979    
       36900 ,  0.980000019    
       37000 ,  0.920000017    
       37100 ,   1.00000000    
       37200 ,  0.980000019    
       37300 ,  0.959999979    
       37400 ,  0.959999979    
       37500 ,  0.980000019    
       37600 ,  0.959999979    
       37700 ,  0.959999979    
       37800 ,  0.959999979    
       37900 ,   1.00000000    
       38000 ,  0.939999998    
       38100 ,  0.959999979    
       38200 ,  0.959999979    
       38300 ,  0.959999979    
       38400 ,   1.00000000    
       38500 ,  0.939999998    
       38600 ,  0.959999979    
       38700 ,   1.00000000    
       38800 ,  0.980000019    
       38900 ,  0.939999998    
       39000 ,  0.920000017    
       39100 ,  0.980000019    
       39200 ,  0.959999979    
       39300 ,  0.939999998    
       39400 ,  0.959999979    
       39500 ,  0.959999979    
       39600 ,  0.959999979    
       39700 ,   1.00000000    
       39800 ,   1.00000000    
       39900 ,  0.980000019    
       40000 ,  0.980000019    
       40100 ,  0.980000019    
       40200 ,  0.939999998    
       40300 ,  0.980000019    
       40400 ,  0.980000019    
       40500 ,  0.980000019    
       40600 ,  0.980000019    
       40700 ,  0.980000019    
       40800 ,  0.980000019    
       40900 ,  0.959999979    
       41000 ,   1.00000000    
       41100 ,   1.00000000    
       41200 ,  0.899999976    
       41300 ,  0.959999979    
       41400 ,  0.920000017    
       41500 ,  0.939999998    
       41600 ,   1.00000000    
       41700 ,  0.980000019    
       41800 ,  0.980000019    
       41900 ,  0.980000019    
       42000 ,  0.980000019    
       42100 ,  0.980000019    
       42200 ,   1.00000000    
       42300 ,  0.980000019    
       42400 ,  0.939999998    
       42500 ,   1.00000000    
       42600 ,  0.879999995    
       42700 ,   1.00000000    
       42800 ,  0.959999979    
       42900 ,  0.980000019    
       43000 ,  0.959999979    
       43100 ,  0.959999979    
       43200 ,   1.00000000    
       43300 ,  0.939999998    
       43400 ,  0.920000017    
       43500 ,  0.959999979    
       43600 ,  0.980000019    
       43700 ,  0.980000019    
       43800 ,  0.959999979    
       43900 ,  0.959999979    
       44000 ,  0.879999995    
       44100 ,   1.00000000    
       44200 ,   1.00000000    
       44300 ,  0.980000019    
       44400 ,  0.959999979    
       44500 ,  0.899999976    
       44600 ,  0.980000019    
       44700 ,   1.00000000    
       44800 ,  0.959999979    
       44900 ,  0.980000019    
       45000 ,   1.00000000    
       45100 ,   1.00000000    
       45200 ,   1.00000000    
       45300 ,  0.939999998    
       45400 ,   1.00000000    
       45500 ,   1.00000000    
       45600 ,   1.00000000    
       45700 ,   1.00000000    
       45800 ,  0.980000019    
       45900 ,  0.980000019    
       46000 ,  0.980000019    
       46100 ,  0.980000019    
       46200 ,  0.980000019    
       46300 ,   1.00000000    
       46400 ,   1.00000000    
       46500 ,  0.959999979    
       46600 ,  0.939999998    
       46700 ,  0.879999995    
       46800 ,  0.939999998    
       46900 ,   1.00000000    
       47000 ,  0.920000017    
       47100 ,   1.00000000    
       47200 ,  0.959999979    
       47300 ,  0.959999979    
       47400 ,   1.00000000    
       47500 ,   1.00000000    
       47600 ,  0.959999979    
       47700 ,  0.980000019    
       47800 ,   1.00000000    
       47900 ,  0.959999979    
