 T, m, L
   1.23000002     ,  0.996557117     ,          10
   1.25999999     ,  0.995724618     ,          10
   1.29000008     ,  0.995068073     ,          10
   1.32000005     ,  0.994351685     ,          10
   1.35000002     ,  0.993418753     ,          10
   1.38000000     ,  0.992025614     ,          10
   1.41000009     ,  0.990708888     ,          10
   1.44000006     ,  0.989348054     ,          10
   1.47000003     ,  0.987934887     ,          10
   1.50000000     ,  0.986333489     ,          10
   1.52999997     ,  0.984872937     ,          10
   1.56000006     ,  0.982843935     ,          10
   1.59000003     ,  0.980866671     ,          10
   1.62000000     ,  0.978169024     ,          10
   1.65000010     ,  0.974171281     ,          10
   1.68000007     ,  0.971670091     ,          10
   1.71000004     ,  0.968297541     ,          10
   1.74000001     ,  0.966123939     ,          10
   1.76999998     ,  0.961235523     ,          10
   1.79999995     ,  0.956401646     ,          10
   1.83000004     ,  0.950556457     ,          10
   1.86000001     ,  0.947144330     ,          10
   1.89000010     ,  0.940127373     ,          10
   1.92000008     ,  0.932420313     ,          10
   1.95000005     ,  0.925766528     ,          10
   1.98000002     ,  0.916764140     ,          10
   2.00999999     ,  0.910732627     ,          10
   2.03999996     ,  0.897361934     ,          10
   2.07000017     ,  0.884451926     ,          10
   2.09999990     ,  0.872406065     ,          10
   2.13000011     ,  0.853424728     ,          10
   2.16000009     ,  0.836743057     ,          10
   2.19000006     ,  0.818581939     ,          10
   2.22000003     ,  0.796781123     ,          10
   2.25000000     ,  0.770553529     ,          10
   2.27999997     ,  0.746212065     ,          10
   2.30999994     ,  0.722837865     ,          10
   2.34000015     ,  0.690873802     ,          10
   2.36999989     ,  0.662923038     ,          10
   2.40000010     ,  0.628908753     ,          10
   2.43000007     ,  0.602280557     ,          10
   2.46000004     ,  0.577345967     ,          10
   2.49000001     ,  0.548077285     ,          10
   2.51999998     ,  0.521041751     ,          10
   2.55000019     ,  0.493968695     ,          10
   2.57999992     ,  0.471600831     ,          10
   2.61000013     ,  0.452857554     ,          10
   2.63999987     ,  0.431509167     ,          10
   2.67000008     ,  0.411292821     ,          10
   2.70000005     ,  0.391768903     ,          10
   2.73000002     ,  0.382032812     ,          10
   2.75999999     ,  0.361691982     ,          10
   2.78999996     ,  0.349060386     ,          10
   2.82000017     ,  0.336280793     ,          10
   2.84999990     ,  0.323288828     ,          10
   2.88000011     ,  0.311000645     ,          10
   2.90999985     ,  0.305584460     ,          10
   2.94000006     ,  0.299596876     ,          10
   2.97000003     ,  0.284536391     ,          10
   3.00000000     ,  0.277828485     ,          10
   3.02999997     ,  0.271560431     ,          10
   3.05999994     ,  0.264296412     ,          10
   3.09000015     ,  0.253568202     ,          10
   3.11999989     ,  0.248880565     ,          10
   3.15000010     ,  0.248448044     ,          10
   3.17999983     ,  0.237400487     ,          10
   3.21000004     ,  0.240159839     ,          10
   3.24000001     ,  0.232871711     ,          10
   3.26999998     ,  0.226391643     ,          10
   3.29999995     ,  0.221847773     ,          10
   3.32999992     ,  0.220880002     ,          10
   3.35999990     ,  0.215967864     ,          10
   3.39000010     ,  0.208739653     ,          10
   3.42000008     ,  0.210903928     ,          10
   3.45000005     ,  0.207331181     ,          10
   3.48000002     ,  0.207255304     ,          10
   3.50999999     ,  0.198119208     ,          10
   3.53999996     ,  0.194587216     ,          10
   3.56999993     ,  0.194003582     ,          10
   3.59999990     ,  0.192583397     ,          10
   3.62999988     ,  0.187835529     ,          10
   3.66000009     ,  0.186743423     ,          10
   3.69000006     ,  0.180347174     ,          10
   3.72000003     ,  0.182363361     ,          10
   3.75000000     ,  0.180403486     ,          10
   3.77999997     ,  0.177995563     ,          10
   3.80999994     ,  0.178355560     ,          10
   3.83999991     ,  0.173779398     ,          10
   3.86999989     ,  0.173139066     ,          10
   3.90000010     ,  0.173091590     ,          10
   3.93000007     ,  0.170199350     ,          10
   3.96000004     ,  0.171519443     ,          10
   3.99000001     ,  0.166871175     ,          10
   4.01999998     ,  0.164367005     ,          10
   4.05000019     ,  0.163659140     ,          10
   4.07999992     ,  0.161659271     ,          10
   4.10999966     ,  0.163791448     ,          10
   4.13999987     ,  0.162059009     ,          10
   4.17000008     ,  0.158035383     ,          10
   4.19999981     ,  0.161195397     ,          10
