 T, m
   1.501800     ,  0.9861946    
   1.503600     ,  0.9861845    
   1.505400     ,  0.9862135    
   1.507200     ,  0.9859049    
   1.509000     ,  0.9860889    
   1.510800     ,  0.9859104    
   1.512600     ,  0.9857560    
   1.514400     ,  0.9854617    
   1.516200     ,  0.9854857    
   1.518000     ,  0.9856817    
   1.519800     ,  0.9853635    
   1.521600     ,  0.9850665    
   1.523400     ,  0.9850749    
   1.525200     ,  0.9846846    
   1.527000     ,  0.9848822    
   1.528800     ,  0.9847280    
   1.530600     ,  0.9847741    
   1.532400     ,  0.9845128    
   1.534200     ,  0.9846193    
   1.536000     ,  0.9844919    
   1.537800     ,  0.9841683    
   1.539600     ,  0.9842260    
   1.541400     ,  0.9842085    
   1.543200     ,  0.9837902    
   1.545000     ,  0.9834838    
   1.546800     ,  0.9836648    
   1.548600     ,  0.9836211    
   1.550400     ,  0.9832860    
   1.552200     ,  0.9833651    
   1.554000     ,  0.9830788    
   1.555800     ,  0.9828175    
   1.557600     ,  0.9828782    
   1.559400     ,  0.9827038    
   1.561200     ,  0.9825735    
   1.563000     ,  0.9825256    
   1.564800     ,  0.9822516    
   1.566600     ,  0.9822127    
   1.568400     ,  0.9821296    
   1.570200     ,  0.9819503    
   1.572000     ,  0.9817492    
   1.573800     ,  0.9817241    
   1.575600     ,  0.9814048    
   1.577400     ,  0.9814568    
   1.579200     ,  0.9815363    
   1.581000     ,  0.9813243    
   1.582800     ,  0.9810710    
   1.584600     ,  0.9807642    
   1.586400     ,  0.9807562    
   1.588200     ,  0.9806240    
   1.590000     ,  0.9802068    
   1.591800     ,  0.9803325    
   1.593600     ,  0.9797761    
   1.595400     ,  0.9800989    
   1.597200     ,  0.9797993    
   1.599000     ,  0.9797741    
   1.600800     ,  0.9795179    
   1.602600     ,  0.9793825    
   1.604400     ,  0.9791933    
   1.606200     ,  0.9796056    
   1.608000     ,  0.9789858    
   1.609800     ,  0.9787381    
   1.611600     ,  0.9787372    
   1.613400     ,  0.9784275    
   1.615200     ,  0.9784041    
   1.617000     ,  0.9781832    
   1.618800     ,  0.9780579    
   1.620600     ,  0.9778605    
   1.622400     ,  0.9780234    
   1.624200     ,  0.9776441    
   1.626000     ,  0.9773818    
   1.627800     ,  0.9771668    
   1.629600     ,  0.9769996    
   1.631400     ,  0.9767687    
   1.633200     ,  0.9766967    
   1.635000     ,  0.9766331    
   1.636800     ,  0.9763976    
   1.638600     ,  0.9763659    
   1.640400     ,  0.9760798    
   1.642200     ,  0.9758240    
   1.644000     ,  0.9756950    
   1.645800     ,  0.9757626    
   1.647600     ,  0.9754320    
   1.649400     ,  0.9755539    
   1.651200     ,  0.9752693    
   1.653000     ,  0.9751022    
   1.654800     ,  0.9748083    
   1.656600     ,  0.9745760    
   1.658400     ,  0.9745378    
   1.660200     ,  0.9740450    
   1.662000     ,  0.9742453    
   1.663800     ,  0.9737408    
   1.665600     ,  0.9736484    
   1.667400     ,  0.9736072    
   1.669200     ,  0.9733028    
   1.671000     ,  0.9730020    
   1.672800     ,  0.9728386    
   1.674600     ,  0.9727693    
   1.676400     ,  0.9727151    
   1.678200     ,  0.9727000    
   1.680000     ,  0.9720167    
   1.681800     ,  0.9719868    
   1.683600     ,  0.9721314    
   1.685400     ,  0.9719446    
   1.687200     ,  0.9715781    
   1.689000     ,  0.9711410    
   1.690800     ,  0.9709604    
   1.692600     ,  0.9706329    
   1.694400     ,  0.9707700    
   1.696200     ,  0.9706537    
   1.698000     ,  0.9701442    
   1.699800     ,  0.9704514    
   1.701600     ,  0.9700073    
   1.703400     ,  0.9698808    
   1.705200     ,  0.9691964    
   1.707000     ,  0.9692836    
   1.708800     ,  0.9690367    
   1.710600     ,  0.9688169    
   1.712400     ,  0.9687394    
   1.714200     ,  0.9682966    
   1.716000     ,  0.9681383    
   1.717800     ,  0.9677461    
   1.719600     ,  0.9678195    
   1.721400     ,  0.9673774    
   1.723200     ,  0.9676964    
   1.725000     ,  0.9671593    
   1.726800     ,  0.9666027    
   1.728600     ,  0.9669396    
   1.730400     ,  0.9669006    
   1.732200     ,  0.9661894    
   1.734000     ,  0.9662082    
   1.735800     ,  0.9654414    
   1.737600     ,  0.9660051    
   1.739400     ,  0.9652355    
   1.741200     ,  0.9651793    
   1.743000     ,  0.9647579    
   1.744800     ,  0.9648026    
   1.746600     ,  0.9643672    
   1.748400     ,  0.9642015    
   1.750200     ,  0.9639897    
   1.752000     ,  0.9637390    
   1.753800     ,  0.9632037    
   1.755600     ,  0.9630513    
   1.757400     ,  0.9626878    
   1.759200     ,  0.9625725    
   1.761000     ,  0.9623517    
   1.762800     ,  0.9621298    
   1.764600     ,  0.9622059    
   1.766400     ,  0.9613504    
   1.768200     ,  0.9611385    
   1.770000     ,  0.9613595    
   1.771800     ,  0.9607789    
   1.773600     ,  0.9607810    
   1.775400     ,  0.9603778    
   1.777200     ,  0.9598833    
   1.779000     ,  0.9600235    
   1.780800     ,  0.9598785    
   1.782600     ,  0.9593610    
   1.784400     ,  0.9591563    
   1.786200     ,  0.9584363    
   1.788000     ,  0.9586202    
   1.789800     ,  0.9581299    
   1.791600     ,  0.9582127    
   1.793400     ,  0.9583990    
   1.795200     ,  0.9570549    
   1.797000     ,  0.9570563    
   1.798800     ,  0.9574668    
   1.800600     ,  0.9568171    
   1.802400     ,  0.9565817    
   1.804200     ,  0.9561342    
   1.806000     ,  0.9556336    
   1.807800     ,  0.9557434    
   1.809600     ,  0.9549559    
   1.811400     ,  0.9555055    
   1.813200     ,  0.9543217    
   1.815000     ,  0.9544066    
   1.816800     ,  0.9541538    
   1.818600     ,  0.9538830    
   1.820400     ,  0.9539345    
   1.822200     ,  0.9531096    
   1.824000     ,  0.9532444    
   1.825800     ,  0.9528717    
   1.827600     ,  0.9524052    
   1.829400     ,  0.9522675    
   1.831200     ,  0.9515448    
   1.833000     ,  0.9507458    
   1.834800     ,  0.9516530    
   1.836600     ,  0.9509516    
   1.838400     ,  0.9501181    
   1.840200     ,  0.9502932    
   1.842000     ,  0.9497390    
   1.843800     ,  0.9501548    
   1.845600     ,  0.9492546    
   1.847400     ,  0.9488578    
   1.849200     ,  0.9487067    
