 T, m, L
  1.6666668E-02 ,   1.000000     ,          25
  3.3333335E-02 ,   1.000000     ,          25
  5.0000004E-02 ,   1.000000     ,          25
  6.6666670E-02 ,   1.000000     ,          25
  8.3333336E-02 ,   1.000000     ,          25
  0.1000000     ,   1.000000     ,          25
  0.1166667     ,   1.000000     ,          25
  0.1333333     ,   1.000000     ,          25
  0.1500000     ,   1.000000     ,          25
  0.1666667     ,   1.000000     ,          25
  0.1833333     ,   1.000000     ,          25
  0.2000000     ,   1.000000     ,          25
  0.2166667     ,   1.000000     ,          25
  0.2333333     ,   1.000000     ,          25
  0.2500000     ,   1.000000     ,          25
  0.2666667     ,   1.000000     ,          25
  0.2833334     ,   1.000000     ,          25
  0.3000000     ,   1.000000     ,          25
  0.3166667     ,   1.000000     ,          25
  0.3333333     ,   1.000000     ,          25
  0.3500000     ,   1.000000     ,          25
  0.3666667     ,   1.000000     ,          25
  0.3833334     ,   1.000000     ,          25
  0.4000000     ,   1.000000     ,          25
  0.4166667     ,   1.000000     ,          25
  0.4333334     ,   1.000000     ,          25
  0.4500000     ,   1.000000     ,          25
  0.4666667     ,   1.000000     ,          25
  0.4833333     ,   1.000000     ,          25
  0.5000000     ,   1.000000     ,          25
  0.5166667     ,   1.000000     ,          25
  0.5333334     ,  0.9999974     ,          25
  0.5500000     ,   1.000000     ,          25
  0.5666667     ,  0.9999980     ,          25
  0.5833334     ,  0.9999962     ,          25
  0.6000000     ,  0.9999974     ,          25
  0.6166667     ,  0.9999955     ,          25
  0.6333334     ,  0.9999922     ,          25
  0.6500000     ,  0.9999897     ,          25
  0.6666667     ,  0.9999853     ,          25
  0.6833334     ,  0.9999858     ,          25
  0.7000000     ,  0.9999821     ,          25
  0.7166667     ,  0.9999743     ,          25
  0.7333333     ,  0.9999639     ,          25
  0.7500001     ,  0.9999524     ,          25
  0.7666667     ,  0.9999433     ,          25
  0.7833334     ,  0.9999249     ,          25
  0.8000001     ,  0.9999085     ,          25
  0.8166667     ,  0.9998896     ,          25
  0.8333334     ,  0.9998551     ,          25
  0.8500000     ,  0.9998267     ,          25
  0.8666667     ,  0.9997941     ,          25
  0.8833334     ,  0.9997681     ,          25
  0.9000000     ,  0.9997300     ,          25
  0.9166667     ,  0.9996580     ,          25
  0.9333334     ,  0.9996015     ,          25
  0.9500000     ,  0.9995270     ,          25
  0.9666667     ,  0.9994673     ,          25
  0.9833334     ,  0.9993463     ,          25
   1.000000     ,  0.9992746     ,          25
   1.016667     ,  0.9992352     ,          25
   1.033333     ,  0.9990374     ,          25
   1.050000     ,  0.9988860     ,          25
   1.066667     ,  0.9988179     ,          25
   1.083333     ,  0.9985805     ,          25
   1.100000     ,  0.9984885     ,          25
   1.116667     ,  0.9982433     ,          25
   1.133333     ,  0.9980190     ,          25
   1.150000     ,  0.9978054     ,          25
   1.166667     ,  0.9975470     ,          25
   1.183333     ,  0.9972649     ,          25
   1.200000     ,  0.9970313     ,          25
   1.216667     ,  0.9966839     ,          25
   1.233333     ,  0.9963939     ,          25
   1.250000     ,  0.9959568     ,          25
   1.266667     ,  0.9956367     ,          25
   1.283333     ,  0.9952417     ,          25
   1.300000     ,  0.9947823     ,          25
   1.316667     ,  0.9942172     ,          25
   1.333333     ,  0.9937074     ,          25
   1.350000     ,  0.9931882     ,          25
   1.366667     ,  0.9928058     ,          25
   1.383333     ,  0.9920694     ,          25
   1.400000     ,  0.9914420     ,          25
   1.416667     ,  0.9909091     ,          25
   1.433333     ,  0.9899434     ,          25
   1.450000     ,  0.9892196     ,          25
   1.466667     ,  0.9883733     ,          25
   1.483333     ,  0.9875298     ,          25
   1.500000     ,  0.9866855     ,          25
   1.516667     ,  0.9852959     ,          25
   1.533333     ,  0.9845196     ,          25
   1.550000     ,  0.9834807     ,          25
   1.566667     ,  0.9821292     ,          25
   1.583333     ,  0.9808635     ,          25
   1.600000     ,  0.9794128     ,          25
