k,m
0,0.96
100,0.96
200,1.0
300,1.0
400,0.96
500,0.96
600,0.94
700,0.98
800,0.98
900,0.96
1000,0.98
1100,0.98
1200,0.98
1300,0.9
1400,0.98
1500,1.0
1600,0.98
1700,0.98
1800,1.0
1900,0.98
2000,0.96
2100,0.98
2200,0.96
2300,0.94
2400,0.98
2500,1.0
2600,0.98
2700,0.94
2800,0.98
2900,1.0
3000,1.0
3100,1.0
3200,1.0
3300,0.92
3400,0.94
3500,1.0
3600,0.98
3700,0.88
3800,0.96
3900,1.0
4000,1.0
4100,0.98
4200,0.96
4300,1.0
4400,0.98
4500,0.9
4600,0.98
4700,0.96
4800,0.98
4900,0.92
5000,0.98
5100,1.0
5200,0.98
5300,1.0
5400,0.98
5500,0.96
5600,0.9
5700,1.0
5800,1.0
5900,0.98
6000,0.98
6100,0.98
6200,0.96
6300,0.94
6400,1.0
6500,0.98
6600,0.94
6700,1.0
6800,1.0
6900,0.88
7000,0.98
7100,1.0
7200,0.98
7300,0.96
7400,0.94
7500,1.0
7600,1.0
7700,1.0
7800,0.98
7900,0.96
8000,0.92
8100,0.98
8200,0.98
8300,0.82
8400,0.98
8500,1.0
8600,0.98
8700,1.0
8800,0.96
8900,0.9
9000,0.96
9100,0.98
9200,0.98
9300,0.96
9400,1.0
9500,0.84
9600,0.94
9700,0.92
9800,0.96
9900,1.0
10000,0.96
10100,1.0
10200,1.0
10300,0.98
10400,1.0
10500,0.98
10600,0.96
10700,0.98
10800,1.0
10900,0.98
11000,0.98
11100,0.96
11200,0.92
11300,0.98
11400,1.0
11500,0.9
11600,1.0
11700,0.96
11800,1.0
11900,0.98
12000,0.96
12100,0.94
12200,0.96
12300,1.0
12400,0.98
12500,0.94
12600,0.98
12700,0.96
12800,0.84
12900,0.92
13000,0.96
13100,0.94
13200,0.92
13300,0.94
13400,1.0
13500,0.92
13600,0.96
13700,0.98
13800,1.0
13900,1.0
14000,0.98
14100,0.94
14200,1.0
14300,0.98
14400,1.0
14500,1.0
14600,0.98
14700,0.92
14800,0.98
14900,0.98
15000,1.0
15100,0.98
15200,0.98
15300,0.96
15400,0.9
15500,0.98
15600,0.98
15700,0.94
15800,0.96
15900,0.96
16000,0.92
16100,0.98
16200,0.98
16300,0.98
16400,0.96
16500,0.98
16600,0.98
16700,1.0
16800,0.98
16900,0.96
17000,0.96
17100,0.98
17200,1.0
17300,0.9
17400,0.96
17500,0.92
17600,0.88
17700,0.98
17800,0.96
17900,1.0
18000,0.94
18100,1.0
18200,0.96
18300,0.98
18400,0.96
18500,1.0
18600,0.94
18700,0.94
18800,0.98
18900,1.0
19000,1.0
19100,0.98
19200,1.0
19300,1.0
19400,0.98
19500,0.98
19600,1.0
19700,0.98
19800,0.92
19900,0.92
20000,0.98
20100,0.98
20200,0.94
20300,0.98
20400,0.96
20500,1.0
20600,0.98
20700,0.94
20800,0.94
20900,0.98
21000,0.98
21100,0.98
21200,0.92
21300,1.0
21400,0.98
21500,0.96
21600,0.96
21700,0.94
21800,0.98
21900,0.98
22000,1.0
22100,0.98
22200,1.0
22300,1.0
22400,0.98
22500,0.96
22600,0.98
22700,0.8
22800,1.0
22900,1.0
23000,0.94
23100,0.88
23200,0.96
23300,0.98
23400,1.0
23500,0.96
23600,1.0
23700,0.98
23800,1.0
23900,1.0
24000,0.96
24100,0.98
24200,1.0
24300,1.0
24400,0.98
24500,0.98
24600,0.98
24700,0.98
24800,1.0
24900,0.9
25000,1.0
25100,0.96
25200,1.0
25300,0.96
25400,0.96
25500,1.0
25600,0.9
25700,0.94
25800,1.0
25900,1.0
26000,0.94
26100,0.98
26200,0.98
26300,0.98
26400,0.92
26500,1.0
26600,1.0
26700,0.98
26800,0.98
26900,1.0
27000,0.98
27100,0.92
27200,0.94
27300,0.98
27400,1.0
27500,1.0
27600,1.0
27700,0.92
27800,1.0
27900,0.96
28000,0.94
28100,0.92
28200,0.98
28300,1.0
28400,1.0
28500,0.98
28600,0.98
28700,0.94
28800,1.0
28900,1.0
29000,0.98
29100,0.94
29200,0.96
29300,0.98
29400,0.92
29500,1.0
29600,0.88
29700,1.0
29800,1.0
29900,0.94
30000,0.98
30100,0.98
30200,1.0
30300,1.0
30400,1.0
30500,1.0
30600,1.0
30700,0.92
30800,0.94
30900,1.0
31000,1.0
31100,0.94
31200,1.0
31300,0.96
31400,0.98
31500,1.0
31600,1.0
31700,1.0
31800,0.98
31900,0.94
32000,1.0
32100,1.0
32200,1.0
32300,1.0
32400,0.98
32500,0.98
32600,1.0
32700,0.88
32800,0.98
32900,0.98
33000,0.94
33100,1.0
33200,0.98
33300,1.0
33400,0.98
33500,1.0
33600,0.94
33700,1.0
33800,0.94
33900,1.0
34000,0.94
34100,1.0
34200,0.98
34300,0.96
34400,0.98
34500,0.98
34600,1.0
34700,1.0
34800,0.98
34900,0.98
35000,1.0
35100,0.86
35200,1.0
35300,0.94
35400,1.0
35500,0.98
35600,0.94
35700,1.0
35800,1.0
35900,1.0
36000,0.96
36100,0.94
36200,0.96
36300,1.0
36400,0.94
36500,0.98
36600,1.0
36700,1.0
36800,0.88
36900,0.98
37000,0.98
37100,0.98
37200,0.96
37300,0.96
37400,0.98
37500,0.92
37600,0.94
37700,0.98
37800,0.88
37900,1.0
38000,0.98
38100,1.0
38200,1.0
38300,0.92
38400,0.98
38500,1.0
38600,0.96
38700,0.88
38800,0.86
38900,0.92
39000,0.98
39100,0.92
39200,1.0
39300,1.0
39400,0.94
39500,1.0
39600,0.98
39700,0.96
39800,1.0
39900,1.0
40000,1.0
40100,1.0
40200,1.0
40300,0.96
40400,0.98
40500,0.98
40600,1.0
40700,0.98
40800,0.98
40900,0.96
41000,1.0
41100,0.98
41200,0.98
41300,0.96
41400,0.96
41500,1.0
41600,0.98
41700,1.0
41800,1.0
41900,0.98
42000,0.98
42100,0.94
42200,0.96
42300,0.96
42400,0.96
42500,1.0
42600,0.94
42700,1.0
42800,0.98
42900,1.0
43000,1.0
43100,0.98
43200,0.94
43300,0.96
43400,0.96
43500,0.94
43600,0.96
43700,0.94
43800,0.96
43900,0.94
44000,1.0
44100,0.98
44200,1.0
44300,0.94
44400,0.96
44500,1.0
44600,0.96
44700,0.94
44800,1.0
44900,0.98
45000,0.98
45100,0.94
45200,1.0
45300,1.0
45400,0.96
45500,0.98
45600,0.96
45700,0.94
45800,0.96
45900,0.82
46000,0.98
46100,0.98
46200,0.9
46300,0.94
46400,0.96
46500,0.98
46600,0.94
46700,0.98
46800,1.0
46900,1.0
47000,1.0
47100,0.92
47200,0.98
47300,0.94
47400,0.92
47500,0.98
47600,0.98
47700,0.96
47800,0.94
47900,1.0
48000,0.98
48100,0.96
48200,0.96
48300,0.98
48400,0.92
48500,0.96
48600,1.0
48700,0.98
48800,1.0
48900,0.98
49000,0.96
49100,0.96
49200,0.98
49300,0.98
49400,0.96
49500,0.96
49600,0.98
49700,1.0
49800,1.0
49900,1.0
50000,1.0
50100,0.96
50200,0.98
50300,1.0
50400,0.92
50500,0.98
50600,1.0
50700,0.92
50800,0.9
50900,0.98
51000,0.96
51100,0.98
51200,1.0
51300,0.96
51400,0.96
51500,0.92
51600,1.0
51700,0.96
51800,0.9
51900,0.98
52000,0.96
52100,1.0
52200,0.98
52300,0.96
52400,0.96
52500,1.0
52600,0.96
52700,0.94
52800,0.98
52900,1.0
53000,1.0
53100,0.96
53200,0.96
53300,0.94
53400,0.9
53500,0.96
53600,1.0
53700,0.88
53800,0.94
53900,0.98
54000,0.98
54100,1.0
54200,1.0
54300,1.0
54400,0.96
54500,0.98
54600,0.98
54700,0.94
54800,1.0
54900,0.92
55000,0.94
55100,0.94
55200,0.96
55300,1.0
55400,0.96
55500,0.96
55600,0.98
55700,0.96
55800,0.94
55900,1.0
56000,0.98
56100,0.98
56200,1.0
56300,0.9
56400,0.96
56500,1.0
56600,0.98
56700,0.98
56800,0.96
56900,0.96
57000,0.96
57100,1.0
57200,0.96
57300,0.98
57400,0.98
57500,0.98
57600,1.0
57700,1.0
57800,1.0
57900,0.92
58000,0.94
58100,0.94
58200,0.98
58300,0.94
58400,1.0
58500,0.9
58600,1.0
58700,1.0
58800,0.94
58900,1.0
59000,1.0
59100,1.0
59200,0.96
59300,0.9
59400,1.0
59500,0.98
59600,1.0
59700,0.98
59800,0.94
59900,1.0
60000,0.94
60100,0.98
60200,0.96
60300,0.96
60400,0.92
60500,0.96
60600,0.98
60700,0.9
60800,1.0
60900,0.92
61000,0.94
61100,0.98
61200,0.94
61300,1.0
61400,0.98
61500,1.0
61600,0.92
61700,0.8
61800,1.0
61900,0.98
62000,0.98
62100,0.98
62200,0.98
62300,0.96
62400,1.0
62500,1.0
62600,0.96
62700,0.98
62800,0.98
62900,0.96
63000,0.82
63100,0.98
63200,0.96
63300,1.0
63400,0.98
63500,0.86
63600,0.98
63700,1.0
63800,1.0
63900,1.0
64000,0.98
64100,1.0
64200,0.98
64300,0.92
64400,0.98
64500,0.84
64600,0.96
64700,0.96
64800,1.0
64900,0.96
65000,0.92
65100,0.96
65200,1.0
65300,1.0
65400,1.0
65500,1.0
65600,1.0
65700,0.96
65800,1.0
65900,0.96
66000,0.96
