 MCS, m
       40000 ,  0.879999995    
       50000 ,  0.980000019    
       60000 ,   1.00000000    
       70000 ,  0.959999979    
       80000 ,  0.959999979    
       90000 ,  0.959999979    
      100000 ,  0.980000019    
      110000 ,   1.00000000    
      120000 ,  0.980000019    
      130000 ,   1.00000000    
      140000 ,  0.839999974    
      150000 ,  0.959999979    
      160000 ,  0.980000019    
      170000 ,  0.980000019    
      180000 ,   1.00000000    
      190000 ,   1.00000000    
      200000 ,  0.959999979    
      210000 ,  0.920000017    
      220000 ,  0.980000019    
      230000 ,   1.00000000    
      240000 ,  0.959999979    
      250000 ,  0.980000019    
      260000 ,   1.00000000    
      270000 ,   1.00000000    
      280000 ,   1.00000000    
      290000 ,  0.980000019    
      300000 ,  0.980000019    
      310000 ,   1.00000000    
      320000 ,  0.939999998    
      330000 ,   1.00000000    
      340000 ,   1.00000000    
      350000 ,  0.980000019    
      360000 ,  0.959999979    
      370000 ,  0.980000019    
      380000 ,  0.959999979    
      390000 ,  0.959999979    
      400000 ,  0.959999979    
      410000 ,  0.980000019    
      420000 ,  0.980000019    
      430000 ,  0.959999979    
      440000 ,   1.00000000    
      450000 ,  0.939999998    
      460000 ,  0.860000014    
      470000 ,  0.920000017    
      480000 ,  0.959999979    
      490000 ,  0.980000019    
      500000 ,  0.959999979    
      510000 ,  0.939999998    
      520000 ,  0.959999979    
      530000 ,  0.959999979    
      540000 ,  0.939999998    
      550000 ,  0.980000019    
      560000 ,  0.980000019    
      570000 ,  0.959999979    
      580000 ,  0.980000019    
      590000 ,  0.920000017    
      600000 ,  0.959999979    
      610000 ,  0.980000019    
      620000 ,  0.939999998    
      630000 ,   1.00000000    
      640000 ,  0.980000019    
      650000 ,  0.980000019    
      660000 ,  0.939999998    
      670000 ,  0.980000019    
      680000 ,   1.00000000    
      690000 ,  0.980000019    
      700000 ,  0.939999998    
      710000 ,  0.980000019    
      720000 ,  0.959999979    
      730000 ,  0.980000019    
      740000 ,  0.980000019    
      750000 ,   1.00000000    
      760000 ,  0.939999998    
      770000 ,   1.00000000    
      780000 ,   1.00000000    
      790000 ,  0.980000019    
      800000 ,   1.00000000    
      810000 ,   1.00000000    
      820000 ,  0.939999998    
      830000 ,   1.00000000    
      840000 ,   1.00000000    
      850000 ,  0.959999979    
      860000 ,   1.00000000    
      870000 ,   1.00000000    
      880000 ,  0.980000019    
      890000 ,   1.00000000    
      900000 ,  0.959999979    
      910000 ,  0.980000019    
      920000 ,  0.939999998    
      930000 ,  0.980000019    
      940000 ,  0.980000019    
      950000 ,   1.00000000    
      960000 ,   1.00000000    
      970000 ,   1.00000000    
      980000 ,  0.980000019    
      990000 ,   1.00000000    
     1000000 ,  0.959999979    
     1010000 ,  0.980000019    
     1020000 ,  0.959999979    
     1030000 ,  0.939999998    
     1040000 ,   1.00000000    
     1050000 ,  0.860000014    
     1060000 ,   1.00000000    
     1070000 ,  0.939999998    
     1080000 ,  0.980000019    
     1090000 ,  0.980000019    
     1100000 ,  0.939999998    
     1110000 ,   1.00000000    
     1120000 ,  0.959999979    
     1130000 ,  0.959999979    
     1140000 ,   1.00000000    
     1150000 ,  0.899999976    
     1160000 ,   1.00000000    
     1170000 ,  0.980000019    
     1180000 ,  0.939999998    
     1190000 ,   1.00000000    
     1200000 ,  0.899999976    
     1210000 ,   1.00000000    
     1220000 ,  0.980000019    
     1230000 ,  0.860000014    
     1240000 ,  0.959999979    
     1250000 ,  0.959999979    
     1260000 ,   1.00000000    
     1270000 ,  0.980000019    
     1280000 ,  0.980000019    
     1290000 ,  0.959999979    
     1300000 ,  0.819999993    
     1310000 ,   1.00000000    
     1320000 ,  0.980000019    
     1330000 ,   1.00000000    
     1340000 ,  0.959999979    
     1350000 ,   1.00000000    
     1360000 ,  0.980000019    
     1370000 ,  0.980000019    
     1380000 ,  0.920000017    
     1390000 ,  0.959999979    
     1400000 ,  0.939999998    
     1410000 ,  0.959999979    
     1420000 ,  0.959999979    
     1430000 ,  0.980000019    
     1440000 ,  0.899999976    
     1450000 ,   1.00000000    
     1460000 ,  0.980000019    
     1470000 ,   1.00000000    
     1480000 ,   1.00000000    
     1490000 ,  0.939999998    
     1500000 ,  0.939999998    
     1510000 ,  0.939999998    
     1520000 ,   1.00000000    
     1530000 ,  0.980000019    
     1540000 ,   1.00000000    
     1550000 ,   1.00000000    
     1560000 ,   1.00000000    
     1570000 ,  0.959999979    
     1580000 ,  0.980000019    
     1590000 ,   1.00000000    
     1600000 ,  0.959999979    
     1610000 , -0.980000019    
     1620000 , -0.980000019    
     1630000 , -0.980000019    
     1640000 , -0.980000019    
     1650000 , -0.959999979    
     1660000 ,  -1.00000000    
     1670000 , -0.980000019    
     1680000 ,  -1.00000000    
     1690000 ,  -1.00000000    
     1700000 ,  -1.00000000    
     1710000 , -0.920000017    
     1720000 ,  -1.00000000    
     1730000 ,  -1.00000000    
     1740000 ,  -1.00000000    
     1750000 , -0.980000019    
     1760000 ,  -1.00000000    
     1770000 ,  -1.00000000    
     1780000 , -0.959999979    
     1790000 , -0.959999979    
     1800000 , -0.980000019    
     1810000 , -0.980000019    
     1820000 , -0.939999998    
     1830000 , -0.980000019    
     1840000 , -0.959999979    
     1850000 , -0.959999979    
     1860000 , -0.879999995    
     1870000 , -0.959999979    
     1880000 ,  -1.00000000    
     1890000 , -0.980000019    
     1900000 ,  -1.00000000    
     1910000 , -0.959999979    
     1920000 , -0.959999979    
     1930000 , -0.959999979    
     1940000 , -0.980000019    
     1950000 , -0.980000019    
     1960000 ,  -1.00000000    
     1970000 , -0.980000019    
     1980000 , -0.860000014    
     1990000 , -0.920000017    
     2000000 , -0.920000017    
     2010000 ,  -1.00000000    
     2020000 ,  -1.00000000    
     2030000 ,  -1.00000000    
     2040000 , -0.980000019    
     2050000 , -0.980000019    
     2060000 , -0.980000019    
     2070000 ,  -1.00000000    
     2080000 ,  -1.00000000    
     2090000 ,  -1.00000000    
     2100000 , -0.980000019    
     2110000 , -0.920000017    
     2120000 ,  -1.00000000    
     2130000 ,  -1.00000000    
     2140000 , -0.980000019    
     2150000 ,  -1.00000000    
     2160000 , -0.920000017    
