 MCS, m
       30100 , -0.280000001    
       30200 ,  0.239999995    
       30300 , -0.219999999    
       30400 ,   7.99999982E-02
       30500 ,  0.239999995    
       30600 ,  0.379999995    
       30700 , -0.280000001    
       30800 , -0.239999995    
       30900 ,   3.99999991E-02
       31000 ,  0.119999997    
       31100 , -0.119999997    
       31200 ,  0.200000003    
       31300 ,  0.100000001    
       31400 , -0.119999997    
       31500 ,  0.340000004    
       31600 , -0.140000001    
       31700 , -0.140000001    
       31800 , -0.540000021    
       31900 ,  0.140000001    
       32000 , -0.180000007    
       32100 , -0.119999997    
       32200 ,  0.300000012    
       32300 ,  0.479999989    
       32400 ,   5.99999987E-02
       32500 , -0.219999999    
       32600 ,  0.140000001    
       32700 ,  0.219999999    
       32800 , -0.239999995    
       32900 ,  0.119999997    
       33000 ,  -7.99999982E-02
       33100 , -0.159999996    
       33200 ,   7.99999982E-02
       33300 ,  0.379999995    
       33400 , -0.519999981    
       33500 ,  0.100000001    
       33600 , -0.280000001    
       33700 , -0.180000007    
       33800 ,  -7.99999982E-02
       33900 ,  -7.99999982E-02
       34000 , -0.200000003    
       34100 , -0.180000007    
       34200 ,  0.340000004    
       34300 ,   1.99999996E-02
       34400 ,  0.319999993    
       34500 , -0.219999999    
       34600 , -0.340000004    
       34700 ,  0.600000024    
       34800 ,  0.159999996    
       34900 ,  0.140000001    
       35000 , -0.540000021    
       35100 ,  0.200000003    
       35200 , -0.439999998    
       35300 , -0.119999997    
       35400 ,  0.379999995    
       35500 , -0.159999996    
       35600 , -0.239999995    
       35700 ,  0.159999996    
       35800 , -0.140000001    
       35900 , -0.639999986    
       36000 , -0.239999995    
       36100 , -0.219999999    
       36200 ,  0.200000003    
       36300 , -0.439999998    
       36400 , -0.159999996    
       36500 , -0.319999993    
       36600 , -0.360000014    
       36700 , -0.319999993    
       36800 ,  -7.99999982E-02
       36900 ,   1.99999996E-02
       37000 ,   5.99999987E-02
       37100 ,  0.340000004    
       37200 ,   7.99999982E-02
       37300 , -0.180000007    
       37400 ,   0.00000000    
       37500 ,   3.99999991E-02
       37600 ,  0.239999995    
       37700 ,  0.140000001    
       37800 ,  0.340000004    
       37900 ,   7.99999982E-02
       38000 ,  0.100000001    
       38100 ,  0.280000001    
       38200 ,  0.460000008    
       38300 , -0.219999999    
       38400 ,  0.219999999    
       38500 , -0.140000001    
       38600 , -0.519999981    
       38700 , -0.259999990    
       38800 , -0.159999996    
       38900 , -0.119999997    
       39000 ,  0.340000004    
       39100 ,  -5.99999987E-02
       39200 , -0.219999999    
       39300 , -0.200000003    
       39400 , -0.100000001    
       39500 , -0.479999989    
       39600 ,  0.119999997    
       39700 ,  0.419999987    
       39800 ,   7.99999982E-02
       39900 ,  0.119999997    
       40000 ,  -1.99999996E-02
       40100 ,  0.439999998    
       40200 ,  0.300000012    
       40300 ,  -5.99999987E-02
       40400 , -0.180000007    
       40500 ,  0.200000003    
       40600 ,  0.340000004    
       40700 , -0.100000001    
       40800 , -0.259999990    
       40900 , -0.219999999    
       41000 , -0.200000003    
       41100 ,  0.200000003    
       41200 , -0.200000003    
       41300 , -0.259999990    
       41400 ,  0.319999993    
       41500 ,   0.00000000    
       41600 ,   0.00000000    
       41700 ,  -3.99999991E-02
       41800 ,   3.99999991E-02
       41900 , -0.200000003    
       42000 ,   3.99999991E-02
       42100 , -0.159999996    
       42200 ,  -1.99999996E-02
       42300 ,   0.00000000    
       42400 , -0.100000001    
       42500 , -0.140000001    
       42600 ,  -7.99999982E-02
       42700 ,   3.99999991E-02
       42800 ,   3.99999991E-02
       42900 ,  -3.99999991E-02
       43000 , -0.140000001    
       43100 ,  0.219999999    
       43200 ,  0.439999998    
       43300 ,  0.180000007    
       43400 , -0.219999999    
       43500 , -0.460000008    
       43600 ,  0.280000001    
       43700 , -0.379999995    
       43800 ,  0.219999999    
       43900 , -0.159999996    
       44000 , -0.280000001    
       44100 ,  -5.99999987E-02
       44200 ,  0.560000002    
       44300 ,   5.99999987E-02
       44400 ,  0.100000001    
       44500 ,   3.99999991E-02
       44600 ,  0.439999998    
       44700 ,  0.119999997    
       44800 ,  0.180000007    
       44900 ,  0.540000021    
       45000 ,   0.00000000    
       45100 ,   0.00000000    
       45200 ,  -7.99999982E-02
       45300 ,  0.419999987    
       45400 , -0.340000004    
       45500 , -0.300000012    
       45600 ,  0.360000014    
       45700 ,   0.00000000    
       45800 , -0.180000007    
       45900 ,  0.119999997    
       46000 ,  0.239999995    
       46100 , -0.600000024    
       46200 , -0.219999999    
       46300 , -0.500000000    
       46400 , -0.119999997    
       46500 , -0.379999995    
       46600 ,  0.460000008    
       46700 ,  0.500000000    
       46800 , -0.119999997    
       46900 ,   3.99999991E-02
       47000 ,   3.99999991E-02
       47100 , -0.259999990    
       47200 ,  0.100000001    
       47300 ,  0.200000003    
       47400 , -0.180000007    
       47500 , -0.140000001    
       47600 ,   1.99999996E-02
       47700 , -0.519999981    
       47800 ,   1.99999996E-02
       47900 ,   1.99999996E-02
       48000 ,  0.340000004    
       48100 ,  0.239999995    
       48200 ,  -3.99999991E-02
       48300 ,  0.159999996    
       48400 , -0.119999997    
       48500 , -0.219999999    
       48600 , -0.200000003    
       48700 ,  0.360000014    
       48800 ,  -5.99999987E-02
       48900 , -0.100000001    
       49000 ,  0.560000002    
       49100 ,  0.159999996    
       49200 , -0.280000001    
       49300 , -0.140000001    
       49400 , -0.119999997    
       49500 ,  0.300000012    
       49600 , -0.340000004    
       49700 ,   1.99999996E-02
       49800 ,   5.99999987E-02
       49900 ,  -3.99999991E-02
       50000 ,  -5.99999987E-02
       50100 ,   1.99999996E-02
       50200 ,  0.159999996    
       50300 , -0.140000001    
       50400 ,   0.00000000    
       50500 ,  0.259999990    
