 T,b,L
   1.814000     ,  0.6666353     ,         100
   1.828000     ,  0.6666309     ,         100
   1.842000     ,  0.6666273     ,         100
   1.856000     ,  0.6666251     ,         100
   1.870000     ,  0.6666241     ,         100
   1.884000     ,  0.6666163     ,         100
   1.898000     ,  0.6666145     ,         100
   1.912000     ,  0.6666083     ,         100
   1.926000     ,  0.6666040     ,         100
   1.940000     ,  0.6665986     ,         100
   1.954000     ,  0.6665868     ,         100
   1.968000     ,  0.6665772     ,         100
   1.982000     ,  0.6665633     ,         100
   1.996000     ,  0.6665537     ,         100
   2.010000     ,  0.6665286     ,         100
   2.024000     ,  0.6665074     ,         100
   2.038000     ,  0.6664888     ,         100
   2.052000     ,  0.6664630     ,         100
   2.066000     ,  0.6664264     ,         100
   2.080000     ,  0.6663942     ,         100
   2.094000     ,  0.6663445     ,         100
   2.108000     ,  0.6662927     ,         100
   2.122000     ,  0.6662054     ,         100
   2.136000     ,  0.6660922     ,         100
   2.150000     ,  0.6658919     ,         100
   2.164000     ,  0.6657318     ,         100
   2.178000     ,  0.6654348     ,         100
   2.192000     ,  0.6648982     ,         100
   2.206000     ,  0.6640073     ,         100
   2.220000     ,  0.6625900     ,         100
   2.234000     ,  0.6605085     ,         100
   2.248000     ,  0.6517796     ,         100
   2.262000     ,  0.6339012     ,         100
   2.276000     ,  0.5778291     ,         100
   2.290000     ,  0.4934351     ,         100
   2.304000     ,  0.3766032     ,         100
   2.318000     ,  0.2866765     ,         100
   2.332000     ,  0.2020555     ,         100
   2.346000     ,  0.1500149     ,         100
   2.360000     ,  0.1149853     ,         100
   2.374000     ,  6.1294138E-02 ,         100
   2.388000     ,  7.5826287E-02 ,         100
   2.402000     ,  5.6731343E-02 ,         100
   2.416000     ,  4.0442169E-02 ,         100
   2.430000     , -1.6009808E-02 ,         100
   2.444000     ,  6.8202615E-03 ,         100
   2.458000     ,  1.9505799E-02 ,         100
   2.472000     ,  1.2355506E-02 ,         100
   2.486000     ,  4.2625070E-02 ,         100
   2.500000     ,  2.6953161E-02 ,         100
