 T,e,L
   1.53999996     ,  -1.94454718     ,          10
   1.58000004     ,  -1.93208218     ,          10
   1.62000000     ,  -1.92400074     ,          10
   1.65999997     ,  -1.90935159     ,          10
   1.70000005     ,  -1.89625692     ,          10
   1.74000001     ,  -1.88444066     ,          10
   1.77999997     ,  -1.86594045     ,          10
   1.81999993     ,  -1.85147226     ,          10
   1.86000001     ,  -1.83015823     ,          10
   1.89999998     ,  -1.80811119     ,          10
   1.94000006     ,  -1.78550518     ,          10
   1.98000002     ,  -1.76274467     ,          10
   2.01999998     ,  -1.73361993     ,          10
   2.05999994     ,  -1.69873238     ,          10
   2.09999990     ,  -1.66773582     ,          10
   2.13999987     ,  -1.62156796     ,          10
   2.18000007     ,  -1.58185136     ,          10
   2.22000003     ,  -1.53403783     ,          10
   2.25999999     ,  -1.48784125     ,          10
   2.29999995     ,  -1.43212378     ,          10
   2.33999991     ,  -1.38946760     ,          10
   2.38000011     ,  -1.32899308     ,          10
   2.42000008     ,  -1.28451955     ,          10
   2.46000004     ,  -1.23396301     ,          10
   2.50000000     ,  -1.18741941     ,          10
   2.53999996     ,  -1.13692594     ,          10
   2.57999992     ,  -1.10921037     ,          10
   2.61999989     ,  -1.06517851     ,          10
   2.65999985     ,  -1.02992761     ,          10
   2.69999981     , -0.999454200     ,          10
   2.74000001     , -0.965907872     ,          10
   2.77999997     , -0.939129174     ,          10
   2.81999993     , -0.918989718     ,          10
   2.86000013     , -0.894890666     ,          10
   2.90000010     , -0.871143639     ,          10
   2.94000006     , -0.856833100     ,          10
   2.98000002     , -0.834463775     ,          10
   3.01999998     , -0.821338058     ,          10
   3.05999994     , -0.800701618     ,          10
   3.09999990     , -0.786281288     ,          10
   3.13999987     , -0.773204565     ,          10
   3.17999983     , -0.753983438     ,          10
   3.21999979     , -0.741466224     ,          10
   3.25999999     , -0.728156149     ,          10
   3.29999995     , -0.721175373     ,          10
   3.33999991     , -0.706914604     ,          10
   3.38000011     , -0.690965533     ,          10
   3.42000008     , -0.678704143     ,          10
   3.46000004     , -0.670833588     ,          10
   3.50000000     , -0.661618173     ,          10
