 T,m,L
   1.540000     ,  0.9834712     ,          10
   1.580000     ,  0.9805191     ,          10
   1.620000     ,  0.9781700     ,          10
   1.660000     ,  0.9746530     ,          10
   1.700000     ,  0.9706913     ,          10
   1.740000     ,  0.9656306     ,          10
   1.780000     ,  0.9599503     ,          10
   1.820000     ,  0.9544140     ,          10
   1.860000     ,  0.9469307     ,          10
   1.900000     ,  0.9387844     ,          10
   1.940000     ,  0.9297050     ,          10
   1.980000     ,  0.9180487     ,          10
   2.020000     ,  0.9047797     ,          10
   2.060000     ,  0.8868268     ,          10
   2.100000     ,  0.8715644     ,          10
   2.140000     ,  0.8518713     ,          10
   2.180000     ,  0.8249493     ,          10
   2.220000     ,  0.8009207     ,          10
   2.260000     ,  0.7634994     ,          10
   2.300000     ,  0.7281145     ,          10
   2.340000     ,  0.6936144     ,          10
   2.380000     ,  0.6556963     ,          10
   2.420000     ,  0.6169771     ,          10
   2.460000     ,  0.5700780     ,          10
   2.500000     ,  0.5353179     ,          10
   2.540000     ,  0.5013731     ,          10
   2.580000     ,  0.4669910     ,          10
   2.620000     ,  0.4417926     ,          10
   2.660000     ,  0.4137305     ,          10
   2.700000     ,  0.3881713     ,          10
   2.740000     ,  0.3695906     ,          10
   2.780000     ,  0.3550218     ,          10
   2.820000     ,  0.3418688     ,          10
   2.860000     ,  0.3262872     ,          10
   2.900000     ,  0.3105939     ,          10
   2.940000     ,  0.2970970     ,          10
   2.980000     ,  0.2797847     ,          10
   3.020000     ,  0.2749380     ,          10
   3.060000     ,  0.2630234     ,          10
   3.100000     ,  0.2551536     ,          10
   3.140000     ,  0.2508660     ,          10
   3.180000     ,  0.2417835     ,          10
   3.220000     ,  0.2312177     ,          10
   3.260000     ,  0.2272464     ,          10
   3.300000     ,  0.2221114     ,          10
   3.340000     ,  0.2193879     ,          10
   3.380000     ,  0.2094019     ,          10
   3.420000     ,  0.2085057     ,          10
   3.460000     ,  0.2027106     ,          10
   3.500000     ,  0.1986240     ,          10
