 MCS,m,L
       30000 ,  0.9600000     ,          10
       31000 ,   1.000000     ,          10
       32000 ,   1.000000     ,          10
       33000 ,  0.9800000     ,          10
       34000 ,  0.9600000     ,          10
       35000 ,   1.000000     ,          10
       36000 ,  0.9600000     ,          10
       37000 ,  0.9200000     ,          10
       38000 ,  0.9400000     ,          10
       39000 ,   1.000000     ,          10
       40000 ,   1.000000     ,          10
       41000 ,  0.9400000     ,          10
       42000 ,  0.9800000     ,          10
       43000 ,  0.9400000     ,          10
       44000 ,  0.9600000     ,          10
       45000 ,   1.000000     ,          10
       46000 ,  0.9400000     ,          10
       47000 ,  0.9600000     ,          10
       48000 ,  0.9600000     ,          10
       49000 ,   1.000000     ,          10
       50000 ,  0.9600000     ,          10
       51000 ,  0.9600000     ,          10
       52000 ,  0.9400000     ,          10
       53000 ,   1.000000     ,          10
       54000 ,   1.000000     ,          10
       55000 ,   1.000000     ,          10
       56000 ,  0.9600000     ,          10
       57000 ,  0.9800000     ,          10
       58000 ,  0.9800000     ,          10
       59000 ,  0.9600000     ,          10
       60000 ,  0.9200000     ,          10
       61000 ,  0.9800000     ,          10
       62000 ,   1.000000     ,          10
       63000 ,  0.9800000     ,          10
       64000 ,  0.9800000     ,          10
       65000 ,  0.9800000     ,          10
       66000 ,   1.000000     ,          10
       67000 ,   1.000000     ,          10
       68000 ,   1.000000     ,          10
       69000 ,  0.9000000     ,          10
       70000 ,  0.9800000     ,          10
       71000 ,  0.9600000     ,          10
       72000 ,   1.000000     ,          10
       73000 ,  0.9800000     ,          10
       74000 ,   1.000000     ,          10
       75000 ,  0.9400000     ,          10
       76000 ,  0.9400000     ,          10
       77000 ,  0.9600000     ,          10
       78000 ,  0.9800000     ,          10
       79000 ,  0.9400000     ,          10
       80000 ,  0.9400000     ,          10
       81000 ,  0.9600000     ,          10
       82000 ,  0.9800000     ,          10
       83000 ,  0.9800000     ,          10
       84000 ,  0.9800000     ,          10
       85000 ,  0.9600000     ,          10
       86000 ,   1.000000     ,          10
       87000 ,  0.9800000     ,          10
       88000 ,   1.000000     ,          10
       89000 ,  0.9800000     ,          10
