 T,e,L
   1.550000     ,  0.2673881     ,          50
   1.600000     ,  0.2850000     ,          50
   1.650000     ,  0.3108907     ,          50
   1.700000     ,  0.3623529     ,          50
   1.750000     ,  0.4098612     ,          50
   1.800000     ,  0.4649383     ,          50
   1.850000     ,  0.5191526     ,          50
   1.900000     ,  0.5735180     ,          50
   1.950000     ,  0.6608284     ,          50
   2.000000     ,  0.7538000     ,          50
   2.023333     ,  0.7814596     ,          50
   2.046667     ,  0.8533142     ,          50
   2.070000     ,  0.8959836     ,          50
   2.093333     ,  0.9224918     ,          50
   2.116667     ,  0.9758322     ,          50
   2.140000     ,   1.094681     ,          50
   2.163333     ,   1.172732     ,          50
   2.186667     ,   1.301931     ,          50
   2.210000     ,   1.529944     ,          50
   2.233333     ,   1.693981     ,          50
   2.256667     ,   1.919669     ,          50
   2.280000     ,   2.119037     ,          50
   2.303333     ,   2.003565     ,          50
   2.326667     ,   1.784394     ,          50
   2.350000     ,   1.526555     ,          50
   2.373333     ,   1.275123     ,          50
   2.396667     ,   1.183076     ,          50
   2.420000     ,   1.080732     ,          50
   2.443333     ,   1.035465     ,          50
   2.466667     ,  0.9198868     ,          50
   2.490000     ,  0.8622764     ,          50
   2.513333     ,  0.8150272     ,          50
   2.536667     ,  0.7832561     ,          50
   2.560000     ,  0.7527466     ,          50
   2.583333     ,  0.7050455     ,          50
   2.606667     ,  0.7108763     ,          50
   2.630000     ,  0.6557850     ,          50
   2.653333     ,  0.6608924     ,          50
   2.676667     ,  0.6231798     ,          50
   2.700000     ,  0.5934705     ,          50
   2.700000     ,  0.6044170     ,          50
   2.780000     ,  0.5407070     ,          50
   2.860000     ,  0.4819061     ,          50
   2.940000     ,  0.4371558     ,          50
   3.020000     ,  0.3949827     ,          50
   3.100000     ,  0.3640895     ,          50
   3.180000     ,  0.3324335     ,          50
   3.260000     ,  0.2926437     ,          50
   3.340000     ,  0.2800835     ,          50
   3.420000     ,  0.2712031     ,          50
