 T,m,L
   1.57000005     ,  0.981942296     ,         100
   1.63999999     ,  0.976176739     ,         100
   1.71000004     ,  0.968943119     ,         100
   1.77999997     ,  0.959917486     ,         100
   1.85000002     ,  0.948489010     ,         100
   1.92000008     ,  0.933791161     ,         100
   1.99000001     ,  0.914589822     ,         100
   2.05999994     ,  0.888366759     ,         100
   2.13000011     ,  0.850168347     ,         100
   2.20000005     ,  0.784216046     ,         100
   2.21000004     ,  0.768978596     ,         100
   2.22000003     ,  0.750328183     ,         100
   2.23000002     ,  0.733005166     ,         100
   2.24000001     ,  0.709373474     ,         100
   2.25000000     ,  0.664250910     ,         100
   2.25999999     ,  0.611292124     ,         100
   2.26999998     ,  0.569611251     ,         100
   2.27999997     ,  0.487466425     ,         100
   2.28999996     ,  0.402431637     ,         100
   2.29999995     ,  0.327170491     ,         100
   2.30999994     ,  0.270384848     ,         100
   2.31999993     ,  0.225819901     ,         100
   2.32999992     ,  0.193514556     ,         100
   2.34000015     ,  0.176832601     ,         100
   2.34999990     ,  0.156743333     ,         100
   2.36000013     ,  0.138223469     ,         100
   2.37000012     ,  0.123676084     ,         100
   2.38000011     ,  0.116210729     ,         100
   2.39000010     ,  0.106535174     ,         100
   2.40000010     ,  0.101710938     ,         100
   2.41000009     ,   9.51311737E-02 ,         100
   2.42000008     ,   9.09544379E-02 ,         100
   2.43000007     ,   8.55777785E-02 ,         100
   2.44000006     ,   7.94298872E-02 ,         100
   2.45000005     ,   7.64133781E-02 ,         100
   2.46000004     ,   7.37375841E-02 ,         100
   2.47000003     ,   7.17716962E-02 ,         100
   2.48000002     ,   6.66144639E-02 ,         100
   2.49000001     ,   6.53546005E-02 ,         100
   2.50000000     ,   6.32696301E-02 ,         100
   2.59999990     ,   4.77503091E-02 ,         100
   2.70000005     ,   3.85698453E-02 ,         100
   2.79999995     ,   3.37642170E-02 ,         100
   2.90000010     ,   2.94178743E-02 ,         100
   3.00000000     ,   2.68353615E-02 ,         100
   3.09999990     ,   2.46568844E-02 ,         100
   3.20000005     ,   2.31014434E-02 ,         100
   3.29999995     ,   2.19768882E-02 ,         100
   3.40000010     ,   2.03527659E-02 ,         100
   3.50000000     ,   1.98993906E-02 ,         100
