 T,m,L
   1.540000     ,  3.6943268E-02 ,          10
   1.580000     ,  4.4292286E-02 ,          10
   1.620000     ,  5.2201893E-02 ,          10
   1.660000     ,  6.4200670E-02 ,          10
   1.700000     ,  6.8394579E-02 ,          10
   1.740000     ,  8.2473643E-02 ,          10
   1.780000     ,  0.1044253     ,          10
   1.820000     ,  0.1250715     ,          10
   1.860000     ,  0.1621663     ,          10
   1.900000     ,  0.1936555     ,          10
   1.940000     ,  0.2464437     ,          10
   1.980000     ,  0.3283674     ,          10
   2.020000     ,  0.4344471     ,          10
   2.060000     ,  0.6235774     ,          10
   2.100000     ,  0.7698735     ,          10
   2.140000     ,  0.8895492     ,          10
   2.180000     ,   1.167412     ,          10
   2.220000     ,   1.359942     ,          10
   2.260000     ,   1.755122     ,          10
   2.300000     ,   2.035429     ,          10
   2.340000     ,   2.163068     ,          10
   2.380000     ,   2.433019     ,          10
   2.420000     ,   2.548263     ,          10
   2.460000     ,   2.668115     ,          10
   2.500000     ,   2.590649     ,          10
   2.540000     ,   2.546340     ,          10
   2.580000     ,   2.455619     ,          10
   2.620000     ,   2.349591     ,          10
   2.660000     ,   2.169929     ,          10
   2.700000     ,   2.092134     ,          10
   2.740000     ,   1.890682     ,          10
   2.780000     ,   1.777171     ,          10
   2.820000     ,   1.676259     ,          10
   2.860000     ,   1.595228     ,          10
   2.900000     ,   1.458107     ,          10
   2.940000     ,   1.348697     ,          10
   2.980000     ,   1.277818     ,          10
   3.020000     ,   1.187440     ,          10
   3.060000     ,   1.106524     ,          10
   3.100000     ,   1.027330     ,          10
   3.140000     ,  0.9948922     ,          10
   3.180000     ,  0.9237357     ,          10
   3.220000     ,  0.8531530     ,          10
   3.260000     ,  0.8154873     ,          10
   3.300000     ,  0.7633718     ,          10
   3.340000     ,  0.7344190     ,          10
   3.380000     ,  0.6917616     ,          10
   3.420000     ,  0.6941756     ,          10
   3.460000     ,  0.6378421     ,          10
   3.500000     ,  0.5883846     ,          10
