 T,S, S2
  1.7499998E-02 ,  0.4711147     ,  0.9938678    
  3.4999996E-02 ,  0.7773887     ,  0.9876900    
  5.2499995E-02 ,  0.3981161     ,  0.9814321    
  6.9999993E-02 ,  0.6264807     ,  0.9752752    
  8.7499991E-02 ,  0.1037572     ,  0.9689576    
  0.1050000     ,  0.4618919     ,  0.9627365    
  0.1225000     ,  0.6589578     ,  0.9560907    
  0.1400000     ,  0.5987149     ,  0.9494022    
  0.1575000     ,  0.3483545     ,  0.9432520    
  0.1750000     ,  0.4594123     ,  0.9372003    
  0.1925000     ,  0.6850477     ,  0.9306204    
  0.2100000     ,  0.5331501     ,  0.9238865    
  0.2275000     ,  0.3320670     ,  0.9170582    
  0.2450000     ,  0.3027587     ,  0.9104006    
  0.2625000     ,  0.5492924     ,  0.9038285    
  0.2800000     ,  0.7075845     ,  0.8963071    
  0.2975000     ,  0.3972383     ,  0.8917345    
  0.3150000     ,  0.1290128     ,  0.8817104    
  0.3325000     ,  0.1675114     ,  0.8734853    
  0.3500000     ,  0.4169505     ,  0.8688110    
  0.3675000     ,  0.2466876     ,  0.8617875    
  0.3850000     ,  0.4138171     ,  0.8536515    
  0.4025000     ,  0.4000440     ,  0.8461870    
  0.4200000     ,  0.3033024     ,  0.8381114    
  0.4375000     ,  0.5994158     ,  0.8325951    
  0.4550000     ,  0.3111414     ,  0.8191529    
  0.4725000     ,  0.4004354     ,  0.8164647    
  0.4900000     ,  0.6239090     ,  0.8055289    
  0.5074999     ,  0.1817953     ,  0.7967587    
  0.5250000     ,  0.1756620     ,  0.7906239    
  0.5425000     ,  0.1584263     ,  0.7805045    
  0.5599999     ,  0.1924120     ,  0.7723580    
  0.5775000     ,  0.2587503     ,  0.7635440    
  0.5950000     ,  0.6300345     ,  0.7509013    
  0.6125000     ,  0.4536424     ,  0.7439211    
  0.6299999     ,  4.0076628E-02 ,  0.7363769    
  0.6475000     ,  0.3449918     ,  0.7151037    
  0.6650000     ,  0.3719247     ,  0.7074086    
  0.6824999     ,  0.4992589     ,  0.6957328    
  0.6999999     ,  0.2406999     ,  0.6617011    
  0.7100000     ,  0.1311762     ,  0.6615440    
  0.7200000     ,  0.4834764     ,  0.6469538    
  0.7300000     ,  0.2190294     ,  0.6310091    
  0.7400000     ,  4.8708368E-02 ,  0.6393071    
  0.7500000     ,  0.2118365     ,  0.6008964    
  0.7600000     ,  0.2780186     ,  0.6101582    
  0.7700000     ,  0.2446676     ,  0.5699265    
  0.7800000     ,  0.3403400     ,  0.5648236    
  0.7900000     ,  0.2451197     ,  0.5722365    
  0.8000000     ,  0.1791859     ,  0.5271004    
  0.8099999     ,  9.9809982E-02 ,  0.4755698    
  0.8200000     ,  0.2440337     ,  0.4583037    
  0.8300000     ,  9.9708289E-02 ,  0.4054415    
  0.8400000     ,  0.1520575     ,  0.3837466    
  0.8500000     ,  0.1587637     ,  0.3770840    
  0.8600000     ,  0.1609391     ,  0.3682402    
  0.8700000     ,  0.1098519     ,  0.3504992    
  0.8800000     ,  0.1235636     ,  0.3536619    
  0.8900000     ,  7.0581794E-02 ,  0.2650054    
  0.9000000     ,  9.8219775E-02 ,  0.3266646    
  0.9150000     ,  0.1309579     ,  0.2945356    
  0.9299999     ,  2.5476201E-02 ,  0.2252281    
  0.9450000     ,  4.8619144E-02 ,  0.2511538    
  0.9600000     ,  1.8338041E-02 ,  0.2077496    
  0.9750000     ,  2.6160736E-02 ,  0.1871637    
  0.9899999     ,  6.2323115E-03 ,  0.2107621    
   1.005000     ,  4.0374361E-02 ,  0.1997236    
   1.020000     ,  3.8698371E-03 ,  0.1789339    
   1.035000     ,  7.0158537E-03 ,  0.1915791    
   1.050000     ,  8.1260968E-03 ,  0.1674202    
   1.065000     ,  1.1789185E-02 ,  0.1594089    
   1.080000     ,  1.7158117E-02 ,  0.1648489    
   1.095000     ,  1.7398288E-02 ,  0.1431478    
   1.110000     ,  9.3160355E-03 ,  0.1401780    
   1.125000     ,  4.5303507E-03 ,  0.1304771    
   1.140000     ,  1.5366122E-03 ,  0.1363390    
   1.155000     ,  2.4884886E-03 ,  0.1351038    
   1.170000     ,  1.1029927E-02 ,  0.1257761    
   1.185000     ,  1.7706076E-02 ,  0.1291985    
   1.200000     ,  7.8031905E-03 ,  0.1204142    
   1.215000     ,  1.0039508E-02 ,  0.1249545    
   1.230000     ,  1.5987460E-02 ,  0.1162493    
   1.245000     ,  7.7236984E-03 ,  0.1219872    
   1.260000     ,  8.2545793E-03 ,  0.1135160    
   1.275000     ,  4.5130067E-03 ,  0.1128664    
   1.290000     ,  9.7953854E-03 ,  0.1076838    
   1.305000     ,  8.8039348E-03 ,  0.1050498    
   1.320000     ,  7.5675207E-03 ,  0.1075819    
   1.335000     ,  5.7446044E-03 ,  0.1019410    
   1.350000     ,  4.7329115E-03 ,  0.1018858    
   1.365000     ,  5.4614358E-03 ,  0.1040181    
   1.380000     ,  4.4246237E-03 ,  9.8763339E-02
   1.395000     ,  1.0405079E-02 ,  9.9026851E-02
   1.410000     ,  7.2398423E-03 ,  9.2897661E-02
   1.425000     ,  5.7805353E-03 ,  9.1863200E-02
   1.440000     ,  5.3360420E-03 ,  9.5469281E-02
   1.455000     ,  3.4124020E-03 ,  9.2563108E-02
   1.470000     ,  7.8473529E-03 ,  9.0222120E-02
   1.485000     ,  5.9147691E-03 ,  9.2479318E-02
   1.500000     ,  6.1675296E-03 ,  8.9319289E-02
