 T,S, S2
  2.0000000E-02 ,  0.8085155     ,  0.9929583    
  3.9999999E-02 ,  0.4217028     ,  0.9859161    
  5.9999999E-02 ,  0.4276803     ,  0.9788040    
  7.9999998E-02 ,  0.8493136     ,  0.9715137    
  0.1000000     ,  0.4023911     ,  0.9644581    
  0.1200000     ,  0.8283251     ,  0.9572936    
  0.1400000     ,  0.4474099     ,  0.9505868    
  0.1600000     ,  0.4140019     ,  0.9421564    
  0.1800000     ,  0.1652486     ,  0.9351306    
  0.2000000     ,  0.6776713     ,  0.9271327    
  0.2200000     ,  0.6034334     ,  0.9202815    
  0.2400000     ,  0.7912946     ,  0.9117789    
  0.2600000     ,  0.1061914     ,  0.9044883    
  0.2800000     ,  0.5118608     ,  0.8966609    
  0.3000000     ,  0.6842099     ,  0.8879376    
  0.3200000     ,  0.7438332     ,  0.8810610    
  0.3400000     ,  0.3865638     ,  0.8730724    
  0.3600000     ,  0.5911411     ,  0.8647742    
  0.3800000     ,  0.2424830     ,  0.8551773    
  0.4000000     ,  0.2973116     ,  0.8462336    
  0.4200000     ,  0.4825659     ,  0.8378894    
  0.4400000     ,  0.4863147     ,  0.8311872    
  0.4600000     ,  0.2208532     ,  0.8184493    
  0.4800000     ,  0.1749592     ,  0.8130865    
  0.5000000     ,  0.5945368     ,  0.8008094    
  0.5200000     ,  0.3890939     ,  0.7931498    
  0.5400000     ,  0.5819560     ,  0.7864057    
  0.5600000     ,  0.6101826     ,  0.7725106    
  0.5800000     ,  0.3945466     ,  0.7572930    
  0.6000000     ,  0.6309406     ,  0.7510126    
  0.6200000     ,  0.3233395     ,  0.7397851    
  0.6400000     ,  0.1934857     ,  0.7233045    
  0.6600000     ,  7.3583029E-02 ,  0.7125556    
  0.6800000     ,  0.4919947     ,  0.6941572    
  0.7000000     ,  0.3714463     ,  0.6694413    
  0.7200000     ,  8.8365890E-02 ,  0.6459624    
  0.7400000     ,  0.1435697     ,  0.6023768    
  0.7600000     ,  0.2654749     ,  0.5774491    
  0.7800000     ,  0.1479072     ,  0.5261598    
  0.8000000     ,  0.3320225     ,  0.5217049    
  0.8200000     ,  0.1444087     ,  0.4813616    
  0.8400000     ,  0.1781715     ,  0.4299648    
  0.8600000     ,  0.1273300     ,  0.3742045    
  0.8800000     ,  6.1837804E-02 ,  0.2895587    
  0.9000000     ,  7.5203180E-02 ,  0.2756526    
  0.9200000     ,  8.1091702E-02 ,  0.2885377    
  0.9400000     ,  6.1100185E-02 ,  0.2495973    
  0.9600000     ,  1.6548365E-02 ,  0.2086600    
  0.9800000     ,  1.4036527E-02 ,  0.2000691    
   1.000000     ,  2.0143766E-02 ,  0.1788592    
   1.020000     ,  1.2538301E-02 ,  0.1771917    
   1.040000     ,  2.4868703E-02 ,  0.1650785    
   1.060000     ,  1.6220044E-02 ,  0.1529268    
   1.080000     ,  2.1654770E-02 ,  0.1471615    
   1.100000     ,  2.2547988E-02 ,  0.1426696    
   1.120000     ,  2.2420319E-02 ,  0.1335198    
   1.140000     ,  2.4011638E-03 ,  0.1335384    
   1.160000     ,  1.6473223E-02 ,  0.1349752    
   1.180000     ,  1.0836164E-02 ,  0.1299881    
   1.200000     ,  1.0981131E-02 ,  0.1209704    
   1.220000     ,  7.0352647E-03 ,  0.1186679    
   1.240000     ,  5.2341186E-03 ,  0.1173357    
   1.260000     ,  4.0309313E-03 ,  0.1097632    
   1.280000     ,  9.0806689E-03 ,  0.1083063    
   1.300000     ,  3.7303031E-03 ,  0.1111484    
   1.320000     ,  1.0779459E-02 ,  0.1057100    
   1.340000     ,  9.1564832E-03 ,  0.1101735    
   1.360000     ,  1.2243392E-02 ,  0.1046544    
   1.380000     ,  1.6620006E-02 ,  0.1028628    
   1.400000     ,  2.7123936E-03 ,  9.4756357E-02
   1.420000     ,  6.6432999E-03 ,  9.6972592E-02
   1.440000     ,  4.5254137E-03 ,  9.2321381E-02
   1.460000     ,  9.7296592E-03 ,  9.0977341E-02
   1.480000     ,  4.2012720E-03 ,  8.9090757E-02
   1.500000     ,  4.7055567E-03 ,  8.9525692E-02
   1.520000     ,  1.8671175E-03 ,  8.7011635E-02
   1.540000     ,  7.0194746E-03 ,  8.6925603E-02
   1.560000     ,  4.1773580E-03 ,  8.5917801E-02
   1.580000     ,  5.1441798E-03 ,  8.7185003E-02
   1.600000     ,  3.0899704E-03 ,  8.4298827E-02
   1.620000     ,  7.0704613E-03 ,  8.2027480E-02
   1.640000     ,  2.8027848E-03 ,  8.3539464E-02
   1.660000     ,  5.1362421E-03 ,  8.4965654E-02
   1.680000     ,  7.8760432E-03 ,  8.2966805E-02
   1.700000     ,  2.3383077E-03 ,  8.0299325E-02
   1.720000     ,  1.7363975E-03 ,  8.0330126E-02
   1.740000     ,  2.3053354E-03 ,  7.7933066E-02
   1.760000     ,  3.4695526E-03 ,  7.7329651E-02
   1.780000     ,  1.1818748E-03 ,  7.6712824E-02
   1.800000     ,  2.6038866E-03 ,  7.6036438E-02
   1.820000     ,  1.7165447E-03 ,  7.7761710E-02
   1.840000     ,  6.7428071E-03 ,  7.8719206E-02
   1.860000     ,  3.7201478E-03 ,  7.6783001E-02
   1.880000     ,  2.7669906E-03 ,  7.6334871E-02
   1.900000     ,  3.8151145E-03 ,  7.5065978E-02
   1.920000     ,  3.4122216E-03 ,  7.3581681E-02
   1.940000     ,  4.5789289E-03 ,  7.3058456E-02
   1.960000     ,  2.4970365E-03 ,  7.4340716E-02
   1.980000     ,  3.7093495E-03 ,  7.1885265E-02
   2.000000     ,  3.3627388E-03 ,  7.0384145E-02
